module_key,module_index,level,owner_rva,reference_site_rva,reference_site_runtime,target_rva,target_section,reference_kind,value,family_id
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D6BC,0x092B73BC,0x001C97A4,.rodata,message_or_literal,"%s has state TMHEADB_INIT_ENTER_3D, but no enter path given. Destroying moby.",WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D8CC,0x092B75CC,0x002D88BB,.data,symbolic_name,TMRobotHeadB_Update,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D8D0,0x092B75D0,0x001C9620,.rodata,source_path,c:/Hig/Projects/Rcp1/Code/MOBYS/TMRobotHeadB/TMRobotHeadB.cpp,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D8E8,0x092B75E8,0x001C9848,.rodata,message_or_literal,"%s has state TMHEADB_INIT_ENTER_TORSO, but no targetTorso given. Destroying moby.",WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D920,0x092B7620,0x002D88BB,.data,symbolic_name,TMRobotHeadB_Update,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D924,0x092B7624,0x001C9620,.rodata,source_path,c:/Hig/Projects/Rcp1/Code/MOBYS/TMRobotHeadB/TMRobotHeadB.cpp,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D93C,0x092B763C,0x001C97F4,.rodata,message_or_literal,"%s has state TMHEADB_INIT_ENTER_TORSO, but no enter path given. Destroying moby.",WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D740,0x092B7440,0x002CA378,.data,float32,0 / 0x00000000,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017D9A0,0x092B76A0,0x002D878C,.data,float32,0.5 / 0x3F000000,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017DA10,0x092B7710,0x002D87A4,.data,float32,0.0111111123 / 0x3C360B62,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017DC9C,0x092B799C,0x002D8734,.data,float32,0.0199999996 / 0x3CA3D70A,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E0BC,0x092B7DBC,0x002D8760,.data,float32,0.100000001 / 0x3DCCCCCD,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E1CC,0x092B7ECC,0x002D876C,.data,float32,0.5 / 0x3F000000,WF-030
