"module_index","module_key","offset_hex","offset_dec","original_hex","patched_hex","flags","flags_noms","layer","layer_nom","ecrit_statiquement"
"9","LEVEL_09","0x121394","1184660","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x121E88","1187464","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x130788","1247112","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x130A28","1247784","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x130B80","1248128","0x34040003","0x34040006","16","CODE","2","armes","oui"
"9","LEVEL_09","0x13E328","1303336","0x46146301","0x00000004","20","CODE+CAVE_JUMP","2","armes","oui"
"9","LEVEL_09","0x13E32C","1303340","0xE62C0008","0x00000000","16","CODE","2","armes","oui"
"9","LEVEL_09","0x15DB0C","1432332","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x15E4B4","1434804","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x1605A0","1443232","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x160958","1444184","0x3C043D08","0x3C043C88","16","CODE","2","armes","oui"
"9","LEVEL_09","0x1609A0","1444256","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"9","LEVEL_09","0x1633B0","1455024","0x46148B01","0x00000002","20","CODE+CAVE_JUMP","2","armes","oui"
"9","LEVEL_09","0x1633DC","1455068","0x46146301","0x00000003","20","CODE+CAVE_JUMP","2","armes","oui"
"9","LEVEL_09","0x1633E0","1455072","0x4616603C","0x00000000","16","CODE","2","armes","oui"
"9","LEVEL_09","0x16C9DC","1493468","0xC62C0010","0x00000005","20","CODE+CAVE_JUMP","2","armes","oui"
"9","LEVEL_09","0x16C9E0","1493472","0x46166301","0x00000000","16","CODE","2","armes","oui"
"9","LEVEL_09","0x170390","1508240","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"9","LEVEL_09","0x1704E4","1508580","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"9","LEVEL_09","0x171BB4","1514420","0x3C044000","0x3C043F80","16","CODE","1","socle","oui"
"9","LEVEL_09","0x186468","1598568","0xC6EC0008","0x00000006","20","CODE+CAVE_JUMP","2","armes","oui"
"9","LEVEL_09","0x18646C","1598572","0xC7CD0010","0x00000000","16","CODE","2","armes","oui"
"9","LEVEL_09","0x2B7088","2846856","0x42700000","0x42F00000","0","","2","armes","oui"
"9","LEVEL_09","0x2B708C","2846860","0x42700000","0x42F00000","0","","2","armes","oui"
"9","LEVEL_09","0x2B77A8","2848680","0x40000000","0x3F800000","0","","2","armes","oui"
"9","LEVEL_09","0x2B7C60","2849888","0x3C360B62","0x3BB60B62","0","","2","armes","oui"
"9","LEVEL_09","0x2B7C64","2849892","0x41880000","0x41080000","0","","8","particules","oui"
"9","LEVEL_09","0x2B7C6C","2849900","0x3DD67751","0x3D567751","0","","2","armes","oui"
