module_key,module_index,level,descriptor_rva,descriptor_runtime,object_name,callback_count,callback_rvas,callback_runtime_addresses,pvar_schema
LEVEL_02,2,Ryllus,0x002E4F50,0x0941EC50,ArmorRightFoot,3,0x00118ED4; 0x00118EDC; 0x00118EE4,0x09252BD4; 0x09252BDC; 0x09252BE4,
LEVEL_02,2,Ryllus,0x002E4FC0,0x0941ECC0,ArmorRightHand,3,0x00118EEC; 0x00118EF4; 0x00118EFC,0x09252BEC; 0x09252BF4; 0x09252BFC,u32 pad[ 4 ];
LEVEL_02,2,Ryllus,0x002E5020,0x0941ED20,ArmorTorso,3,0x00118F04; 0x00118F0C; 0x00118F14,0x09252C04; 0x09252C0C; 0x09252C14,
LEVEL_02,2,Ryllus,0x002E50C0,0x0941EDC0,BasicAnimated,3,0x00118F1C; 0x001190DC; 0x00119140,0x09252C1C; 0x09252DDC; 0x09252E40,u32 animId; TriggerLink drawArea; Toggle randStart; u8 pad[7];
LEVEL_02,2,Ryllus,0x002E51A4,0x0941EEA4,BeeMine,4,0x001198A4; 0x001198B4; 0x00119C94; 0x0011998C,0x092535A4; 0x092535B4; 0x09253994; 0x0925368C,
LEVEL_02,2,Ryllus,0x002E5270,0x0941EF70,BeeMineGlove,3,0x0011B670; 0x0011B7F8; 0x0011B824,0x09255370; 0x092554F8; 0x09255524,
LEVEL_02,2,Ryllus,0x002E52D0,0x0941EFD0,BeeMineGloveHUD,3,0x0011BE44; 0x0011BE4C; 0x0011BE54,0x09255B44; 0x09255B4C; 0x09255B54,
LEVEL_02,2,Ryllus,0x002E539C,0x0941F09C,BeeMineShrapnel,3,0x0011C18C; 0x0011C194; 0x0011C19C,0x09255E8C; 0x09255E94; 0x09255E9C,
LEVEL_02,2,Ryllus,0x002E548C,0x0941F18C,Blaster,3,0x0011C214; 0x0011C370; 0x0011C894,0x09255F14; 0x09256070; 0x09256594,
LEVEL_02,2,Ryllus,0x002E54F8,0x0941F1F8,BlasterAkimbo,3,0x0011D874; 0x0011D8F8; 0x0011D928,0x09257574; 0x092575F8; 0x09257628,
LEVEL_02,2,Ryllus,0x002E556C,0x0941F26C,BlasterShot,3,0x0011DBF8; 0x0011DC20; 0x0011DFC4,0x092578F8; 0x09257920; 0x09257CC4,
LEVEL_02,2,Ryllus,0x002E59CC,0x0941F6CC,BlitzGun,3,0x0011FE90; 0x0011FFEC; 0x00120444,0x09259B90; 0x09259CEC; 0x0925A144,
LEVEL_02,2,Ryllus,0x002E5B5C,0x0941F85C,BlitzGunShot,3,0x00121ED8; 0x00121EE0; 0x0012207C,0x0925BBD8; 0x0925BBE0; 0x0925BD7C,
LEVEL_02,2,Ryllus,0x002E5BC0,0x0941F8C0,Bolt,2,0x00122B8C; 0x00122B94,0x0925C88C; 0x0925C894,
LEVEL_02,2,Ryllus,0x002E5EB4,0x0941FBB4,BoltController,3,0x00126114; 0x00126348; 0x0012636C,0x0925FE14; 0x09260048; 0x0926006C,u32 boltAmnt; u32 boltAmountReplay; u32 pad[ 2 ];
LEVEL_02,2,Ryllus,0x002E5F44,0x0941FC44,BoltCrankBolt,3,0x00126708; 0x00126924; 0x0012692C,0x09260408; 0x09260624; 0x0926062C,
LEVEL_02,2,Ryllus,0x002E6030,0x0941FD30,BoltCrankCam,3,0x00126E1C; 0x00126E58; 0x00126E60,0x09260B1C; 0x09260B58; 0x09260B60,MobyLink boltCrank; f32 dist; f32 height; f32 lookHeight; f32 elevation; f32 azimuth; f32 camBlend; f32 pad;
